t (s),h (mmHg*1e-5)
7,14
8,15
9,16
10,17
11,18
12,20
13,21
14,22
15,23
16,24
17,26
18,27
19,28
20,29
21,30
22,31
23,32
24,34
25,35
26,36
27,37
28,38
29,39
30,40
31,41
32,42
33,44
34,45
35,46
36,47
37,48
38,49
39,50
40,51
41,52
42,53
43,54
44,55
45,56
46,57
47,58
48,59
49,60
50,61
51,62
52,64
53,65
54,66
55,67
56,68
57,69
58,70
59,71
60,71
61,72
62,74
63,75
64,76
65,76
66,77
67,78
68,78
69,75
70,70
71,61
72,52
73,43
74,37
75,32
76,29
77,26
78,24
79,22
80,20
81,19
82,18
83,18
84,17
85,16
86,16
87,16
88,15
89,15
90,15
91,15
92,15
93,15
94,14
95,14
96,14
97,14
98,14
99,14
