t (s),V (mV)
134,18.2433
135,18.2171
136,18.1905
137,18.1651
138,18.1375
138.999,18.111
139.999,18.0849
140.999,18.0574
141.999,18.031
143,18.0049
143.999,17.9794
144.999,17.9532
145.999,17.9276
146.999,17.9012
147.999,17.875
148.999,17.8496
150,17.8238
150.999,17.7981
151.999,17.7722
152.999,17.7457
153.999,17.7207
154.999,17.6935
155.999,17.669
156.999,17.6425
158,17.6188
159,17.5931
160,17.5679
161,17.5431
162,17.5209
162.999,17.4933
163.999,17.4693
165,17.4456
166,17.4209
167,17.3967
167.999,17.3734
168.999,17.3482
170,17.3234
171,17.3002
172,17.2763
173,17.252
174,17.2268
175,17.2032
176,17.1766
177,17.1541
178,17.1298
178.999,17.1027
179.999,17.0808
181,17.0555
182,17.0302
183,17.006
184,16.9811
185,16.956
186,16.9314
187,16.9075
188,16.8831
189,16.8585
189.999,16.833
190.999,16.8096
192,16.7844
193,16.7608
194,16.7369
195,16.7139
196,16.6884
197,16.6642
197.999,16.6387
198.999,16.6135
200,16.5908
201,16.5671
202,16.543
203,16.5207
203.999,16.4951
204.999,16.4717
206,16.4487
206.999,16.4258
208,16.4017
209,16.3784
209.999,16.3553
211,16.3323
212,16.3093
213.002,16.286
213.999,16.2626
214.999,16.2404
215.999,16.2176
216.999,16.1954
217.999,16.1747
219,16.1511
220,16.1285
221,16.1062
221.999,16.0862
222.999,16.0642
223.999,16.0426
224.999,16.0197
226,15.9981
227,15.976
228,15.9525
229,15.9294
229.999,15.9074
231,15.8843
232,15.8621
233,15.8399
234,15.8176
234.999,15.7935
236,15.772
237,15.7488
238,15.7247
239,15.7024
240,15.6797
240.999,15.6548
242,15.632
243,15.609
244,15.5865
245,15.5642
245.999,15.5408
246.999,15.5163
247.999,15.4951
249,15.4719
250,15.4513
251,15.4298
251.999,15.4083
253,15.3876
254,15.3651
255,15.3452
256,15.3235
256.999,15.3024
258,15.2811
259,15.2611
260,15.2392
261,15.2177
262,15.1966
262.999,15.1767
264,15.1551
265,15.1333
265.999,15.1134
267,15.092
268,15.0706
269,15.0503
269.999,15.0295
271,15.0075
272,14.9856
273,14.9643
273.999,14.9462
275,14.9237
276,14.9046
277,14.8822
277.999,14.8634
279,14.8425
280,14.8208
280.999,14.8018
282,14.7812
283,14.7604
283.999,14.7403
285,14.7203
286,14.6986
286.999,14.678
288,14.6565
289,14.6353
289.999,14.6147
290.999,14.5941
292,14.572
293,14.5526
294,14.5321
295,14.5126
295.999,14.4915
296.999,14.4718
298,14.451
298.999,14.4302
299.999,14.4099
300.999,14.3898
302,14.3697
303,14.3486
304,14.3289
305,14.3091
306,14.2878
307,14.2686
307.999,14.2482
309,14.2287
310,14.2077
310.999,14.1877
312,14.1675
313,14.148
313.999,14.1291
315,14.1095
316,14.089
317,14.0686
318,14.0483
318.999,14.03
320,14.011
320.999,13.992
321.999,13.9715
323,13.9523
323.999,13.9312
324.999,13.9125
326,13.892
326.999,13.8714
328,13.8528
328.999,13.8335
330,13.8149
331,13.7947
331.999,13.7754
333,13.7571
334,13.7373
335.001,13.7169
335.999,13.6988
337,13.6791
338,13.6591
338.999,13.6396
340,13.6209
340.999,13.6022
342,13.5821
342.999,13.5643
344,13.5452
345,13.5242
346,13.5054
347,13.4854
347.999,13.4675
349,13.448
350,13.4286
351,13.4097
351.999,13.3905
353,13.3701
353.999,13.3528
355,13.3328
356,13.3128
357,13.2948
358,13.2755
359,13.2563
360,13.2354
361,13.2193
362,13.1996
363,13.1819
364,13.162
364.999,13.1448
366,13.1259
367,13.1061
367.999,13.0883
369,13.0701
370,13.0507
371,13.0323
372,13.0137
372.999,12.9958
374,12.977
374.999,12.9597
376,12.9391
377,12.9207
377.999,12.9028
379,12.8839
380,12.8643
381,12.8469
381.999,12.8284
383,12.809
384,12.7898
385,12.7715
385.999,12.7554
386.999,12.7357
388,12.7178
389,12.7004
390,12.6825
390.999,12.6654
392,12.6478
393,12.6293
394,12.6117
394.999,12.5954
395.999,12.5764
397,12.5592
398,12.5414
399,12.5238
399.999,12.5068
401,12.4889
401.999,12.4722
403,12.4549
404,12.4374
405,12.4198
406,12.4022
407,12.3848
407.999,12.3667
409,12.3489
410,12.3307
410.999,12.3131
412,12.2952
413,12.2777
413.999,12.2599
414.999,12.2419
416,12.2249
417,12.2081
417.999,12.1897
419,12.1728
420,12.1565
420.999,12.1386
422,12.1214
423,12.1056
423.999,12.0877
424.999,12.0713
426,12.0539
426.999,12.0374
428,12.0194
429,12.005
429.999,11.9869
431,11.9705
432,11.9538
