t (s),V (mV)
0,22.3364
1,22.3018
1.999,22.2672
2.999,22.2328
4,22.1974
5,22.1616
6,22.1265
6.999,22.091
7.999,22.0551
9,22.02
10,21.984
11,21.9497
11.999,21.9153
12.999,21.882
14,21.8475
15,21.8134
16,21.7796
16.999,21.7465
17.999,21.7121
19,21.6787
20,21.6441
21,21.6086
21.999,21.5753
22.999,21.5421
24,21.51
25,21.4751
26,21.4415
26.999,21.4085
27.999,21.375
29,21.343
30.001,21.3128
31,21.2775
32,21.2451
32.999,21.2131
33.999,21.1784
34.999,21.146
36,21.1152
37,21.0815
37.999,21.0492
38.999,21.0186
40,20.9876
41,20.9549
41.999,20.9236
42.999,20.8906
44,20.8615
45,20.8268
45.999,20.7957
47,20.7653
48,20.7319
49,20.7003
50,20.6706
51,20.6381
52,20.6078
53,20.5774
54,20.5477
54.999,20.5151
55.999,20.4837
56.999,20.4539
58,20.4236
59,20.3943
59.999,20.362
60.999,20.3309
61.999,20.3004
62.999,20.2694
63.999,20.2392
65,20.2095
66,20.1792
67,20.1483
68,20.1187
69,20.0868
70,20.0581
71,20.0286
71.999,19.9981
72.999,19.9671
73.999,19.9373
75,19.9061
76,19.8755
77,19.8448
78,19.8152
78.999,19.7851
79.999,19.7551
81,19.723
82,19.6923
83,19.6631
84,19.6332
85,19.6031
86,19.5739
87,19.5447
88,19.5142
89,19.4857
90,19.4579
90.999,19.4283
91.999,19.4001
92.999,19.3712
93.999,19.342
95,19.3141
96,19.2861
97,19.2595
98,19.2322
99,19.2039
100,19.1772
101,19.1495
102,19.1226
103,19.0946
104,19.0665
105,19.0384
106,19.0109
106.999,18.9837
107.999,18.9566
109,18.9283
110,18.901
111,18.8739
112,18.8459
112.999,18.8201
113.999,18.7914
115,18.7645
116,18.7318
117,18.7056
117.999,18.6801
119,18.652
120,18.6241
121,18.5971
122,18.5694
122.999,18.5426
123.999,18.5169
125,18.4877
126,18.4598
127,18.4339
127.999,18.4075
128.999,18.38
130,18.3522
131,18.3246
132,18.2978
132.999,18.2718
