t (s),V (mV)
0,23.1494
1.05,23.0786
2.099,23.0097
3.149,22.9421
4.163,22.8796
5.163,22.814
6.162,22.7481
7.162,22.6827
8.162,22.6181
9.163,22.5545
10.163,22.4898
11.163,22.4266
12.163,22.3628
13.163,22.2983
14.163,22.2358
15.163,22.1741
16.162,22.1099
17.163,22.0475
18.162,21.9857
19.162,21.9221
20.162,21.8601
21.163,21.7978
22.162,21.7362
23.163,21.6747
24.162,21.6117
25.163,21.5513
26.163,21.4888
27.163,21.4272
28.163,21.3665
29.163,21.3041
30.162,21.2432
31.162,21.1823
32.162,21.1222
33.163,21.0624
34.162,21.0018
35.163,20.9423
36.163,20.8835
37.163,20.8239
38.162,20.7655
39.162,20.706
40.162,20.6476
41.163,20.5894
42.162,20.5318
43.162,20.4729
44.163,20.4161
45.163,20.3585
46.162,20.3009
47.162,20.2429
48.162,20.1867
49.162,20.1303
50.162,20.0736
51.163,20.0176
52.163,19.9632
53.163,19.9065
54.162,19.8511
55.163,19.7972
56.163,19.7419
57.163,19.6875
58.162,19.6318
59.162,19.5763
60.162,19.5221
61.162,19.467
62.162,19.4128
63.162,19.3572
64.163,19.3047
65.163,19.2491
66.163,19.1964
67.162,19.142
68.163,19.0887
69.162,19.0359
70.163,18.9808
71.162,18.9286
72.162,18.8755
73.163,18.8209
74.163,18.768
75.162,18.7162
76.162,18.6635
77.162,18.6089
78.162,18.5545
79.162,18.5022
80.165,18.4469
81.162,18.3968
82.162,18.3443
83.162,18.2924
84.162,18.242
85.162,18.1894
86.162,18.1386
87.162,18.0875
88.162,18.0369
89.162,17.9858
90.163,17.9352
91.162,17.8848
92.163,17.8356
93.162,17.7857
94.163,17.7372
95.162,17.6855
96.162,17.6376
97.162,17.5887
98.162,17.5409
99.163,17.4933
100.162,17.4441
101.162,17.3965
102.163,17.3488
103.162,17.3009
104.163,17.2521
105.163,17.206
106.162,17.1573
107.163,17.1103
108.162,17.0619
109.163,17.0143
110.163,16.9662
111.163,16.9181
112.162,16.8699
113.163,16.8208
114.163,16.7733
115.163,16.7262
116.163,16.6801
117.163,16.6314
118.163,16.5859
119.162,16.5392
120.163,16.4919
121.163,16.4459
122.162,16.4009
123.162,16.3549
124.163,16.3088
125.163,16.2647
126.162,16.2193
127.163,16.1735
128.163,16.1286
129.162,16.0842
130.162,16.0391
131.162,15.9943
132.162,15.9496
133.162,15.9049
134.163,15.8582
135.163,15.8154
136.162,15.7718
137.163,15.7266
138.163,15.6827
139.162,15.6402
140.162,15.5951
141.162,15.5527
142.162,15.5088
143.162,15.4671
144.162,15.423
145.162,15.3796
146.162,15.3364
147.162,15.2942
148.162,15.2503
149.162,15.2068
150.162,15.1661
151.163,15.121
152.163,15.0789
153.163,15.036
154.162,14.9943
155.163,14.9496
156.163,14.9106
157.162,14.8696
158.163,14.8255
159.163,14.7843
160.162,14.7456
161.162,14.7038
162.163,14.6615
163.162,14.6212
164.162,14.5811
165.162,14.5405
166.163,14.499
167.163,14.4585
168.162,14.4195
169.162,14.3795
170.163,14.3375
171.162,14.2982
172.162,14.2594
173.163,14.2191
174.163,14.1798
175.162,14.1415
176.162,14.1023
177.163,14.0626
178.162,14.0235
179.163,13.9832
180.163,13.9446
181.162,13.9064
182.163,13.8673
183.163,13.8288
184.163,13.79
185.163,13.751
186.162,13.7132
187.162,13.6738
188.163,13.6349
189.163,13.5968
190.163,13.5588
191.162,13.5212
192.162,13.4836
193.162,13.4453
194.163,13.4078
195.163,13.3695
196.163,13.3313
197.163,13.2934
198.163,13.2541
199.163,13.2174
200.163,13.1792
201.163,13.1419
202.163,13.1062
203.163,13.0682
204.162,13.031
205.163,12.9957
206.162,12.959
207.163,12.9222
208.162,12.8869
209.163,12.8502
210.162,12.8157
211.162,12.7794
212.162,12.7435
213.162,12.7091
214.163,12.6741
215.163,12.6388
216.162,12.6066
217.163,12.5702
218.163,12.5377
219.163,12.5029
220.163,12.4696
221.162,12.4356
222.162,12.4018
223.162,12.3676
224.162,12.3327
225.162,12.2978
226.163,12.2644
227.162,12.2304
228.162,12.1961
229.163,12.1614
230.162,12.1272
231.163,12.0944
232.162,12.0607
233.162,12.0261
234.162,11.9938
235.162,11.96
236.163,11.9267
