t (s),V (mV)
0,21.4623
1.079,21.4324
2.632,21.386
4.661,21.3251
6.689,21.2661
8.718,21.2047
10.746,21.1453
12.774,21.0898
14.803,21.033
16.831,20.977
18.86,20.9217
20.888,20.868
22.916,20.8146
25.906,20.7351
27.935,20.6827
29.963,20.6289
31.992,20.5758
34.02,20.5237
35.1,20.4943
36.653,20.4555
38.681,20.4028
40.71,20.3511
42.738,20.3016
44.767,20.2509
46.795,20.2003
49.785,20.1258
51.813,20.0779
53.842,20.0301
55.87,19.9821
57.899,19.9357
59.927,19.8896
61.956,19.8416
63.984,19.7952
66.013,19.7489
67.092,19.7233
68.645,19.689
70.673,19.643
73.663,19.5763
75.692,19.5321
77.72,19.4878
79.748,19.4443
81.777,19.3993
83.805,19.3552
85.834,19.313
87.862,19.2695
89.891,19.2262
91.919,19.1838
93.947,19.1426
96.938,19.082
98.966,19.0405
100.995,19.0002
103.023,18.9589
105.051,18.9168
106.605,18.886
108.634,18.843
110.662,18.8005
112.691,18.759
114.719,18.7179
116.748,18.6772
119.738,18.6189
121.766,18.5782
123.795,18.5372
125.823,18.497
127.852,18.457
129.88,18.4165
131.909,18.3756
133.937,18.336
135.966,18.2979
137.994,18.2574
140.023,18.2174
143.013,18.1589
144.092,18.1388
145.645,18.1102
147.673,18.0721
149.702,18.0325
151.73,17.9938
153.759,17.9588
155.787,17.9229
157.816,17.8873
159.844,17.851
161.873,17.8157
163.901,17.7796
166.891,17.7274
168.92,17.691
170.948,17.6552
172.977,17.6192
175.005,17.5821
176.084,17.5634
177.638,17.5361
179.666,17.5004
181.695,17.4653
183.723,17.4298
185.752,17.3939
187.78,17.3593
190.77,17.3068
192.799,17.273
194.828,17.2387
196.856,17.2049
198.885,17.1709
200.913,17.1375
202.942,17.1022
204.97,17.068
206.999,17.0338
208.078,17.0153
209.631,16.9891
211.66,16.9549
214.65,16.9026
216.678,16.8693
218.707,16.835
220.735,16.8023
222.764,16.7688
224.792,16.7355
226.821,16.7019
228.85,16.6685
230.878,16.6357
232.907,16.6023
234.935,16.5684
237.925,16.5163
239.954,16.4836
241.982,16.4494
244.011,16.4168
245.089,16.3994
246.643,16.3725
248.671,16.3409
250.7,16.3093
252.729,16.2778
254.757,16.2453
256.785,16.214
258.814,16.1831
261.804,16.1354
263.833,16.1062
265.861,16.0739
267.89,16.0426
269.918,16.0109
271.947,15.9806
273.975,15.9497
276.004,15.9177
277.083,15.9013
278.636,15.8787
280.665,15.8465
282.693,15.8155
285.683,15.7707
287.712,15.7392
289.741,15.7098
291.769,15.6775
293.798,15.6473
295.826,15.6162
297.855,15.5858
299.883,15.5541
301.912,15.5237
303.94,15.4924
305.969,15.4618
308.959,15.4171
310.988,15.3871
313.016,15.3562
314.095,15.3411
315.649,15.3176
317.677,15.2876
319.706,15.2567
321.734,15.2271
323.763,15.1971
325.791,15.1691
327.82,15.1377
329.849,15.1087
332.839,15.0659
334.867,15.0371
336.896,15.0074
338.924,14.9787
340.953,14.9496
342.982,14.9199
345.01,14.8905
346.089,14.8744
347.642,14.8522
349.671,14.823
351.7,14.7953
353.728,14.7658
356.718,14.724
358.747,14.6961
360.775,14.6675
362.804,14.6394
364.832,14.6117
366.861,14.5828
368.89,14.5539
370.918,14.5257
372.947,14.4983
374.975,14.4687
377.004,14.4416
379.994,14.3994
382.023,14.371
384.051,14.3432
385.606,14.3229
387.634,14.2952
389.663,14.2667
391.691,14.2375
393.72,14.2097
395.749,14.1833
397.777,14.1569
399.806,14.13
